sex,Final.IGF.1,body.weight,pctFat,fem.dens,fem.circ,D1Mit64,D1Mit236,D1Mit7,D1Mit386,D1Mit14,D1Mit540,D1Mit17,D2Mit365,D2Mit323,D2MIT206,D2Mit395,D2MIT285,D2MIT113,D3Mit60,D3MIT131,D3MIT178,D3Mit230,D3Mit57,D3Mit19,D3Mit258,D4MIT104,D4Mit111,D4Mit15,D4Mit170,D4Mit42,D5Mit146,D5Mit66,D5Mit200,D5MIT88,D5Mit95,D5Mit143,D6Mit86,D6Mit74,D6Mit14,D6Mit52,D7Mit75,D7Mit228,D7MIT93,D7MIT7,D7Mit332,D7Mit259,D8Mit124,D8Mit292,D8MIT75,D8Mit200,D8Mit92,D9Mit90,D9Mit1001,D9Mit253,D9Mit1006,D9Mit259,D9Mit12,D9Mit151,D10Mit77,D10Mit126,D10MIT96,D10Mit14,D11Mit2,D11Mit188,D11MIT30,D11Mit213,D11Mit214,D12Mit169,D12Mit60,D12Mit201,D12Mit5,D12MIT133,D13Mit16,D13Mit88,D13Mit125,D16Mit132,D13Mit35,D14Mit98,D14MIT60,D14Mit5,D14Mit68,D14Mit75,D15MIT80,D15MIT143,D15Mit67,D15Mit242,D16Mit60,D16Mit5,D16Mit189,D16Mit86,D17Mit164,D17MIT175,D17Mit20,D17Mit39,D17Mit76,D18Mit64,D18Mit147,D18Mit123,D18Mit9,D18Mit4,D19Mit68,D19Mit40,D19MIT88,D19MIT17,D19MIT108
0,15.3,22.63,48,0.47,3.955,H,H,H,H,H,H,A,H,B,H,H,B,B,H,H,H,B,B,B,B,H,H,A,A,A,A,A,A,H,H,A,A,A,A,-,H,H,H,H,H,B,A,A,A,B,B,H,H,H,H,A,H,H,B,H,H,-,-,H,-,H,B,H,H,H,B,B,H,B,B,B,B,H,H,H,H,A,B,B,B,B,H,B,B,B,H,A,H,H,H,H,H,H,H,A,H,H,A,A,A
1,7.6,18.44,33,0.469,3.803,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,A,A,A,A,A,A,A,A,A,A,H,B,B,H,-,H,H,H,H,H,H,-,A,A,H,H,A,A,A,A,B,A,A,B,H,H,-,-,H,-,H,H,A,A,H,H,B,B,A,B,B,B,H,H,H,H,A,A,A,A,A,A,B,H,H,H,A,A,A,-,H,H,H,H,B,B,B,B,B,B
1,6.8,20.49,38.3,0.464,3.844,B,H,H,H,A,A,A,B,B,B,B,H,H,H,H,H,H,A,A,A,A,H,B,H,H,H,H,H,H,H,H,H,H,A,-,A,A,H,H,H,H,H,H,A,H,-,B,B,B,B,A,B,B,A,A,H,-,-,H,-,H,H,H,H,B,B,H,A,A,B,B,B,-,H,H,B,B,H,H,B,B,A,H,H,H,H,H,H,H,H,A,A,H,B,B,H,H,H,H,H
1,20.9,28.08,46.1,0.527,4.078,A,A,A,H,B,B,H,H,H,A,A,H,H,H,H,H,H,B,H,H,H,A,A,H,H,H,H,H,H,H,H,A,A,A,-,B,B,B,B,H,H,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,-,-,B,-,B,B,H,H,B,B,B,H,-,B,B,-,H,B,B,B,B,A,A,H,H,H,H,A,-,H,H,H,H,B,H,H,H,B,B,H,H,A,H,H
0,16.3,15.27,27.7,0.491,3.655,H,H,H,H,H,H,A,H,A,A,A,A,A,H,B,B,B,A,A,A,A,A,A,H,H,B,B,B,-,B,B,A,H,B,-,H,B,B,B,B,H,H,H,A,A,H,A,A,A,H,H,H,H,H,H,H,-,-,H,-,H,H,A,A,-,H,-,A,A,A,A,H,B,B,H,H,H,A,A,A,H,H,H,H,B,-,B,B,H,H,H,H,H,H,A,B,-,H,H,A
0,10.3,15.41,33.2,0.52,3.622,A,A,A,H,A,A,A,H,A,A,A,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,H,H,H,H,H,H,H,-,B,B,B,B,B,H,H,H,A,H,A,H,H,H,B,B,B,B,A,-,H,-,-,B,-,B,B,H,H,B,B,B,H,A,-,H,H,B,B,H,A,A,B,H,H,A,H,H,H,H,B,B,B,B,H,H,H,H,H,B,H,A,A,A,A
0,10.6,19.17,-,0.527,3.801,H,H,H,A,A,H,A,H,A,H,H,H,H,H,H,H,B,B,H,B,H,H,H,H,-,H,H,A,-,-,A,H,H,H,-,H,A,A,-,H,H,H,H,A,H,H,B,B,B,B,H,H,H,B,-,H,-,-,B,-,H,H,H,H,A,A,A,H,H,H,H,-,A,A,A,A,A,H,H,B,B,B,A,A,H,B,B,B,B,B,H,H,H,B,B,H,A,A,A,A
0,13.5,17.83,-,0.588,3.551,B,B,H,H,H,H,A,B,B,B,B,B,B,H,B,H,-,-,A,A,B,H,A,-,A,A,A,A,H,B,B,H,H,H,-,B,B,B,B,B,H,B,-,H,H,H,H,H,H,-,A,A,H,H,H,A,-,-,B,-,B,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,B,A,H,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,-,-,A
0,10,17.87,38.2,0.518,4.078,A,A,A,H,H,H,A,H,H,B,B,B,B,H,-,H,-,-,B,B,A,H,H,B,B,A,A,A,A,H,H,B,H,B,-,H,A,A,A,H,H,B,H,A,H,A,H,H,H,H,H,B,B,H,H,H,-,-,A,-,A,A,H,H,-,B,B,A,A,H,H,H,H,H,B,B,B,H,A,B,H,A,A,A,H,A,A,A,-,A,H,H,H,A,A,A,H,-,-,H
1,8.5,20.61,41.6,0.474,3.754,H,H,-,B,-,B,H,B,B,-,-,H,H,H,H,H,-,-,B,B,H,-,A,H,H,H,H,B,-,B,H,H,B,A,-,H,-,H,H,H,H,B,B,H,H,H,-,H,H,H,H,H,B,H,-,B,-,-,H,-,-,H,A,-,H,A,H,H,H,-,H,A,-,-,A,A,-,H,-,H,H,A,A,A,A,H,A,A,-,H,A,A,A,H,A,A,A,-,-,H
1,5.3,27.95,45.6,0.502,3.892,A,A,A,A,H,A,A,A,A,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,A,A,A,H,H,B,-,A,H,H,B,B,B,B,B,H,H,H,H,A,A,A,A,H,A,A,A,H,-,-,B,-,H,H,A,A,A,A,H,H,H,H,H,B,A,H,H,H,H,H,H,H,H,A,H,B,B,H,A,A,H,A,B,B,H,H,H,H,H,H,H,H
0,10,18.74,37.8,0.489,3.962,B,A,A,A,H,H,A,B,H,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,H,H,A,H,H,H,A,A,A,-,A,A,A,A,A,A,H,A,A,A,A,H,H,H,H,H,H,H,B,H,H,-,-,H,-,H,H,H,H,H,A,-,H,H,H,A,H,A,A,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,B,H,A,A,A,H,H,H,H,H
0,12.1,19.62,-,0.539,3.771,H,A,A,A,A,A,A,A,A,A,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A,H,H,B,B,B,B,H,H,A,-,B,B,B,B,B,B,A,H,A,H,H,H,H,H,H,H,H,H,A,H,B,-,-,H,-,H,H,B,B,B,H,-,B,A,H,B,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,A,H,H,H,H,A,H,A,A,A,H
0,12.1,18.33,36.2,0.515,3.763,H,H,H,H,H,H,A,H,H,H,H,H,B,B,-,H,B,B,H,H,A,A,A,H,H,A,H,B,B,B,H,H,H,H,-,H,A,A,A,H,B,A,A,A,H,B,A,A,A,A,A,A,A,H,H,A,-,-,B,-,A,A,H,H,H,H,B,H,A,H,H,H,A,H,H,H,H,A,A,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H
1,-,17.21,31.1,0.454,3.731,H,A,H,H,H,H,H,H,H,H,A,A,A,H,B,B,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,B,B,A,-,H,H,H,B,B,B,H,H,A,A,A,H,H,H,H,A,A,H,A,A,A,-,-,A,-,A,A,H,B,B,B,B,H,H,A,A,A,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H
0,9.4,12.14,27.9,0.486,3.705,A,H,H,B,B,B,H,H,H,H,H,B,B,H,B,B,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,B,-,A,-,H,A,A,H,H,B,H,H,A,-,A,A,A,A,A,A,A,H,A,A,H,-,-,H,-,H,H,A,A,A,H,H,H,A,A,-,H,B,B,B,B,H,H,A,A,A,A,H,B,H,H,H,H,B,H,H,H,A,A,A,A,H,H,H,H
0,14.4,14.31,25.8,0.524,3.787,B,B,H,B,H,A,A,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,B,A,-,H,H,H,H,H,H,H,H,A,-,A,A,A,A,A,A,H,H,H,H,H,-,-,H,-,H,H,H,H,A,H,H,H,A,B,B,H,H,H,A,H,H,H,A,A,A,H,H,H,B,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B
0,15,14.83,30.7,0.519,3.569,A,H,-,H,H,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,B,B,A,-,H,-,-,H,H,H,H,H,H,H,A,B,H,H,H,H,H,A,B,B,H,-,-,B,-,B,B,-,H,A,H,H,H,A,H,H,-,-,A,A,H,H,B,-,H,A,H,H,B,H,H,H,H,H,B,H,B,H,H,A,H,H,A,A,A
1,12.4,21.49,44.5,0.514,3.731,H,H,H,H,H,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,B,H,H,A,H,H,A,A,-,B,B,B,B,H,-,H,H,H,-,B,A,H,H,H,H,B,B,A,A,H,-,-,H,-,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,B,H,H,H,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,B,H,H,H
1,5.3,21.23,42.4,0.511,3.704,H,A,A,H,A,A,A,A,A,A,H,B,B,H,B,B,H,H,H,H,B,B,H,-,-,A,H,H,H,B,H,H,H,A,-,A,A,-,A,H,H,H,B,H,-,B,B,B,B,B,B,H,H,B,B,B,-,-,H,-,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,-,B,B,B,B,H,B,H,-,-,H
1,14.4,22.26,44.9,0.533,3.891,A,A,H,H,B,B,H,A,H,H,H,H,B,H,H,H,H,A,A,A,A,B,B,H,H,B,B,H,H,H,H,B,B,A,-,B,H,H,H,H,A,H,H,A,H,B,H,H,H,A,A,H,H,H,H,H,-,-,H,-,B,H,H,H,H,H,A,H,H,H,B,H,B,B,B,H,H,H,H,H,H,B,H,H,H,B,B,B,B,-,A,A,A,H,H,H,B,B,B,B
1,13.2,24,44.5,0.512,3.836,H,-,H,H,H,H,A,A,H,B,B,B,B,H,-,A,A,A,A,A,H,H,H,H,H,B,B,B,H,H,A,B,B,A,-,H,H,H,H,H,H,H,H,A,H,H,A,A,A,H,H,H,H,A,A,H,-,-,H,-,H,A,H,B,B,B,B,H,H,H,B,B,-,A,A,A,A,A,-,H,A,H,B,B,B,A,A,A,H,-,A,H,H,H,B,H,H,B,B,B
0,11.2,17.1,42,0.507,3.551,B,-,B,B,H,A,A,H,B,B,H,H,H,A,A,A,H,H,B,B,H,A,A,H,H,H,H,B,H,H,A,A,A,H,-,H,A,A,H,H,H,B,B,H,A,A,H,H,H,H,B,B,H,H,H,A,-,-,H,-,H,B,B,B,H,H,H,H,H,A,A,A,A,H,H,H,A,B,H,H,A,H,A,A,A,A,H,H,H,H,B,B,H,A,A,B,B,B,B,B
0,13.5,19.83,35.5,0.517,4.76,H,H,H,A,H,H,A,H,H,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,B,A,A,H,H,B,H,A,-,A,-,H,H,H,H,A,A,A,H,A,H,H,H,H,H,H,H,H,A,H,H,H,-,-,H,-,B,A,A,H,H,H,H,H,-,H,H,H,B,H,H,H,A,B,B,B,H,H,H,H,H,H,A,H,H,B,H,B,B,B,H,B,B,B,B,H
0,22.4,22.9,40.7,0.539,3.907,H,H,H,H,H,H,H,H,H,B,B,B,B,H,-,B,H,H,H,H,A,A,H,H,H,H,H,H,H,A,A,A,-,A,-,A,A,H,B,B,B,B,B,H,B,H,H,H,H,H,B,H,H,H,B,B,-,-,H,-,H,A,H,H,A,A,H,A,-,B,-,H,H,B,B,B,H,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,B,H
1,12.6,19.86,40.5,0.55,3.755,H,H,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,-,B,H,H,H,H,A,B,H,H,H,H,H,H,H,A,-,A,A,H,H,A,A,A,H,A,-,A,H,H,H,H,H,H,H,H,H,A,-,-,A,-,B,H,B,B,B,B,H,H,-,H,H,H,B,B,B,B,B,A,A,H,H,A,A,A,A,H,H,H,H,H,B,B,H,A,A,-,A,-,-,H
1,10.6,17.62,31.4,0.525,3.787,H,H,H,A,H,H,H,H,B,B,B,B,B,H,B,B,B,B,B,B,A,A,B,B,H,H,H,H,A,A,A,B,B,H,-,B,H,H,H,B,B,B,B,H,-,B,H,H,H,H,H,H,B,A,A,B,-,-,H,-,A,H,H,H,H,H,H,A,A,-,A,H,B,B,B,B,H,B,H,A,A,H,A,A,A,B,B,H,B,B,-,B,H,H,H,H,B,-,-,A
0,20.3,17.79,32.6,0.486,3.884,H,B,H,B,B,H,H,H,B,H,H,H,H,H,B,B,B,H,A,H,A,A,A,H,H,A,H,H,H,H,H,B,H,B,-,H,H,H,B,B,H,A,A,A,-,B,H,H,H,H,H,H,B,B,B,H,-,-,H,-,H,H,H,H,H,H,H,A,A,B,B,B,H,H,H,H,B,B,H,H,H,A,A,-,H,H,H,H,H,A,B,B,H,H,A,H,A,A,A,A
0,14.4,20.85,38.4,0.51,3.78,B,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,B,A,A,H,H,H,H,H,H,H,H,H,H,B,H,H,A,-,H,A,-,A,H,H,H,H,H,B,B,H,H,H,H,H,H,H,A,H,H,-,-,B,-,B,B,-,A,A,H,H,A,H,H,H,H,A,A,A,A,A,B,H,H,B,H,B,B,H,A,A,H,H,B,A,A,A,A,A,A,A,H,H,H
0,11.5,22.18,41.5,0.513,4.001,A,H,B,B,H,H,H,H,H,A,A,A,A,H,B,-,A,A,B,H,H,H,-,H,H,B,H,H,B,H,B,B,B,H,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,-,-,H,-,-,H,A,A,A,B,A,H,H,H,H,A,H,B,H,H,-,B,H,A,A,H,H,H,H,H,H,H,B,B,B,A,B,B,H,B,H,H,H,H
0,12.1,16.11,30.2,0.481,3.587,H,H,H,H,H,H,A,A,A,A,A,H,H,A,A,H,B,A,H,H,H,A,A,A,A,H,H,B,B,B,B,A,A,B,-,H,B,B,B,B,H,A,A,A,H,H,B,B,A,B,H,H,H,B,B,A,-,-,H,-,H,H,B,B,B,B,B,H,H,B,H,H,A,H,H,B,B,H,H,H,B,B,H,H,H,A,A,A,H,A,A,A,A,A,-,A,A,A,A,H
0,11.1,18.16,38.6,0.532,3.883,H,H,B,B,B,B,H,A,A,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,H,B,H,H,H,-,A,A,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,A,H,A,A,A,A,A,A,A,A,H,H,-,A,A,A,B,B,-,-,H,B,B,H,H,A,B,B,B,H,H,A,A,A,H,H,H,H,-,H,H,B,B,B,A,A,A,-,H
0,11.1,15.97,36,0.518,3.963,B,B,B,B,B,B,B,H,B,B,H,H,H,B,B,B,H,H,H,H,H,H,H,A,A,H,H,H,H,H,-,H,H,-,A,H,B,B,B,B,H,H,H,H,H,A,B,H,H,H,A,A,A,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,A,-,H,H,H,H,B,B,H,H,B,B,H,H,H,H,H,A,A,H,-,A,H,H,H,B,H,H,H,A,A
1,2.2,21.9,37,0.448,3.978,H,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A,H,H,H,H,A,A,A,B,B,B,H,H,-,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,H,H,H,H,H,A,H,H,A,A,H,H,H,H,A,A,A,H,-,H,B,B,A,B,B,A,H,A,B,A,A,A,A,A,A,A,A,A,H,H,H,H,B,A,A,A,B,B
0,6.9,18.19,38.7,0.51,3.535,A,A,A,A,A,A,H,H,H,H,H,H,H,A,A,H,H,B,H,H,H,H,A,A,A,A,A,A,A,H,-,H,H,H,H,H,H,H,H,A,H,B,B,H,H,H,B,B,B,B,B,H,H,H,H,H,H,B,B,H,H,H,A,A,A,A,A,H,H,H,-,A,H,H,A,H,H,A,A,A,H,B,B,B,H,A,H,H,H,B,B,H,H,H,H,H,H,H,H,H
0,11.3,14.5,30.6,0.505,3.763,A,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,-,H,A,A,H,H,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,A,A,A,H,B,B,A,A,A,H,H,B,B,H,H,H,A,H,H,-,H,B,B,H,B,H,H,A,-,B,A,A,-,B,A,A,A,H,B,-,A,A,A,-,H,B,H,H,H
0,10.8,16.47,32.9,0.501,3.796,-,A,H,B,B,B,B,H,H,H,H,B,B,B,B,B,B,B,A,H,B,H,H,H,H,A,H,H,H,H,-,H,H,A,H,H,H,H,H,H,B,H,H,A,H,B,B,B,B,B,B,H,H,H,A,A,H,A,A,H,H,H,H,H,H,H,H,H,H,H,-,-,A,A,H,H,B,H,H,H,B,H,H,B,B,H,H,A,H,H,B,B,B,H,H,H,H,H,A,A
0,6.7,15.87,36.7,0.465,3.82,H,H,H,H,A,A,A,A,H,B,B,H,H,H,H,A,A,B,B,B,B,H,B,B,B,B,B,H,H,A,-,H,H,H,B,-,H,H,H,H,H,H,H,H,-,H,H,H,H,B,B,H,B,H,H,B,B,A,A,A,A,A,B,B,H,H,A,B,H,A,-,H,H,B,B,B,H,H,H,H,H,H,B,H,H,H,H,A,H,B,H,H,H,H,-,H,H,H,H,H
0,9.4,15.12,36.6,0.531,3.672,H,H,A,A,A,H,-,H,B,B,B,-,B,-,B,B,H,A,A,-,A,H,B,-,H,H,B,H,H,B,-,-,H,A,H,-,B,B,B,-,A,B,B,H,-,H,-,H,H,H,-,H,H,A,A,H,H,H,H,H,B,H,H,H,H,H,H,A,A,H,-,-,B,B,B,B,H,-,H,H,H,A,A,A,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
0,9.9,16.64,34,0.485,3.721,H,A,A,A,-,H,H,H,H,A,A,A,H,B,B,B,H,A,A,A,H,H,H,A,H,H,H,H,H,H,-,H,H,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,B,B,H,H,H,H,H,A,A,A,A,B,H,H,H,-,H,B,B,H,B,B,H,H,H,H,H,B,B,B,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H
1,1.7,23.53,54.8,0.549,3.771,B,B,B,H,H,H,H,B,B,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,B,-,H,H,A,H,B,H,H,A,A,B,H,A,H,B,B,H,H,H,H,H,A,A,A,A,B,B,A,H,B,B,H,A,H,H,H,H,B,H,H,-,H,H,A,H,H,B,H,H,H,H,B,B,B,B,B,B,B,H,-,H,H,H,H,B,H,H,H,H,H
1,3.9,25.19,48,0.505,3.672,H,A,A,A,H,H,H,B,B,B,B,B,-,-,H,H,A,A,H,A,H,H,H,H,A,B,B,H,H,H,-,-,H,H,H,-,H,H,H,-,H,H,-,B,H,B,H,H,H,H,H,-,H,B,B,-,H,B,H,H,H,H,H,H,A,A,A,B,B,B,-,B,H,H,H,H,H,-,B,A,H,B,B,B,B,A,A,A,A,-,H,H,H,H,H,H,H,H,B,-
1,3.7,26.76,45.8,0.549,3.86,A,A,A,A,-,A,A,H,H,H,H,H,H,B,B,B,H,H,H,H,B,B,B,H,H,H,H,H,H,H,-,H,B,H,-,H,H,H,H,B,B,-,B,B,H,H,H,H,H,H,H,H,A,A,A,H,A,B,B,B,B,H,H,A,H,-,H,-,H,B,-,B,-,H,B,A,H,B,B,B,H,H,H,B,B,H,H,H,H,H,B,B,B,B,B,A,A,A,-,A
0,10.6,19.79,36.1,0.501,3.779,H,H,B,B,H,H,H,-,A,-,-,H,H,H,-,H,B,B,B,B,B,A,A,H,H,A,A,A,-,H,-,B,B,A,A,H,B,B,B,H,H,B,B,H,A,A,H,H,H,H,H,A,A,H,H,H,B,B,H,H,H,A,-,H,B,B,H,H,H,H,-,A,A,H,A,-,-,A,A,A,B,-,-,-,A,H,H,A,A,A,B,B,B,B,B,H,H,H,A,A
0,12.6,18.24,38,0.511,3.828,H,H,B,B,B,B,H,A,A,H,H,H,A,H,H,H,A,A,H,H,H,B,B,H,H,B,H,H,H,-,-,H,H,A,H,H,H,H,H,H,H,A,H,A,A,A,H,H,H,H,H,H,A,B,B,H,H,A,A,A,A,A,B,B,B,B,H,B,B,H,-,A,A,H,B,H,H,H,A,A,-,H,H,A,H,H,H,A,A,A,H,H,B,B,H,A,H,B,B,B
0,11.6,20.22,39.8,0.492,4.062,H,H,H,H,A,A,A,B,B,B,B,B,H,B,B,B,B,B,A,H,H,H,H,B,B,H,A,A,A,A,-,H,H,A,A,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,A,H,H,B,H,A,H,H,H,B,B,B,H,H,A,H,-,A,B,H,H,A,A,H,H,H,H,H,H,A,A,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H
1,-,16.36,26.3,0.479,3.915,H,H,A,A,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,H,B,H,H,H,H,H,A,A,-,H,H,A,A,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,B,H,B,H,A,H,H,H,H,B,A,A,A,H,B,H,H,B,-,B,A,H,B,H,H,H,H,A,H,A,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H
1,8.4,21.88,38,0.462,4.009,H,H,H,B,H,A,A,H,H,H,H,B,B,H,H,H,H,B,B,B,H,A,H,B,B,A,A,A,A,A,-,B,B,A,H,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,H,H,A,A,A,A,H,-,H,A,A,B,B,H,A,A,A,H,A,-,H,H,H,H,H,H,H,B,B,H,H,H,H,H,A,A,H,H,H,A,A,A,B,B,B,H,H,A,A
1,3.4,24.33,40.5,0.496,3.939,A,H,H,B,H,H,H,B,H,H,H,A,A,B,B,B,H,H,H,H,A,B,H,H,H,H,H,H,A,A,-,A,H,A,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,-,H,B,B,H,H,H,H,A,A,H,B,B,B,B,H,B,B,B,B,H,H,H,H,B,H,H,H,H,H
1,4.4,20.03,34.8,0.479,3.931,H,H,H,H,A,A,A,B,B,A,A,H,H,B,B,B,H,H,H,H,H,H,H,H,A,A,H,H,H,A,-,H,H,H,A,H,H,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,H,H,H,-,B,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,B,B,-,A,H,H,-,H,H,H,A,-
0,14,16.38,39.6,0.459,3.57,A,A,A,A,A,A,A,A,H,H,H,B,B,H,H,H,H,A,A,A,H,A,A,A,A,H,H,H,A,A,-,A,A,A,H,A,A,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,H,H,A,A,H,B,B,H,H,H,H,A,H,H,H,-,H,H,H,A,H,A,A,A,A,H,H,H,H,A,A,A,B,B,B,H,H,A,A,H,B,B,H,H,H
0,9.1,15.83,30.9,0.485,3.672,B,B,H,H,-,A,A,H,H,A,A,A,A,A,A,A,A,A,H,A,H,H,A,H,H,H,B,H,H,H,-,A,A,A,H,H,A,-,H,H,B,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,A,H,H,H,H,H,A,A,A,-,A,B,B,H,-,H,B,H,A,H,A,A,H,H,B,A,A,A,A,A,A,A,H,H,A,A,A,-,H,B,H,H,A,A
0,12.1,19.57,41.6,0.477,4.001,A,A,A,A,H,B,A,H,H,H,H,H,H,-,B,A,A,-,A,A,H,H,H,B,B,B,B,B,H,A,-,A,A,-,B,H,H,A,H,B,B,H,H,-,H,H,B,B,H,H,H,H,H,H,H,H,B,-,H,A,A,H,H,H,H,H,H,A,A,H,-,H,B,B,H,H,A,H,B,A,H,H,H,H,H,H,-,H,H,H,H,H,A,A,A,-,H,H,B,B
1,6.9,25.71,50.1,0.479,3.705,A,A,H,B,B,H,H,H,H,B,B,B,B,H,H,H,B,B,B,B,A,H,H,H,A,A,A,A,A,A,-,H,B,A,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,B,B,B,B,B,B,B,H,H,B,H,H,H,H,B,-,B,A,A,H,H,B,A,H,H,-,H,H,H,H,B,B,B,B,B,A,A,A,A,H,H,A,A,A,A
1,13.3,30.1,46,0.504,3.994,A,A,H,H,H,H,H,B,B,B,B,H,-,H,H,H,H,H,H,H,A,A,H,H,H,B,B,B,B,H,-,H,A,A,H,H,H,H,H,B,H,H,H,A,H,H,H,A,A,A,A,A,H,A,A,H,H,A,B,B,B,B,H,H,H,A,A,H,H,H,-,B,A,A,H,A,A,-,B,B,-,H,A,A,A,H,H,H,A,H,H,H,B,B,H,A,A,A,A,A
1,11.1,26.18,42.2,0.491,4.108,A,A,A,A,A,A,A,B,B,H,H,H,-,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,B,B,-,B,B,A,H,H,H,B,H,-,H,H,H,H,A,A,B,B,B,B,H,H,B,A,A,-,H,B,H,A,A,A,H,H,A,A,H,B,B,H,-,A,B,B,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,-,H,B,B,H,H,H,H,H,H,-
1,1.7,24.19,43.5,0.47,3.916,H,A,A,A,A,H,H,H,H,H,H,H,B,H,B,B,B,B,A,H,A,A,A,A,H,H,H,B,B,B,-,A,A,A,H,B,H,A,A,A,A,A,A,A,H,H,H,B,B,H,H,H,H,H,H,B,B,H,A,A,A,A,A,H,H,H,H,H,H,H,-,H,H,B,A,B,H,-,H,B,H,A,B,B,B,A,H,H,B,B,H,H,H,H,H,H,H,H,H,H
1,6.7,28.67,45.3,0.497,4.024,H,H,H,H,H,H,A,H,H,H,H,H,B,H,H,B,B,B,H,B,B,H,H,H,H,B,B,H,H,H,-,H,H,A,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,A,A,A,A,H,H,H,-,A,B,B,H,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,A,H,H,H,H,H
0,17.1,16.07,30.9,0.528,3.579,A,H,B,B,B,B,B,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,B,B,-,H,H,H,B,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,H,H,A,B,H,A,A,-,A,H,H,H,H,B,B,B,B,B,A,H,H,H,B,A,A,A,A,A
